Time_ms;Coronal;Sagital;Transversal;;
973;-0.10313288114593845;-0.27375867164021206;-0.1777062261355738;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.09,0.34,62216;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75569
993;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62257;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75569
1014;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62298;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75569
1034;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62298;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75610
1055;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62298;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75651
1075;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62339;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75651
1096;-0.6417170119329193;-0.27354987873979736;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62339;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75692
1116;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62339;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75732
1126;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62339;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75753
1147;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62339;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75794
1167;-0.6417170119329193;-0.27377225099283303;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62380;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75794
1187;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62420;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75794
1208;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62420;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75835
1228;-0.6417170119329193;-0.8108750233268194;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62420;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75876
1249;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62420;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75917
1259;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62441;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75917
1280;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62441;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1300;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62482;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1321;-0.6417170119329193;-0.8110838162272341;-0.37280389886391807;#DCM=0.11,-0.99,-0.08,0.32,0.11,-0.94,0.94,0.08,0.33,62523;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1341;-0.4526378357713333;-0.8110838162272341;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.32,0.12,-0.94,0.94,0.08,0.33,62564;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1362;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62605;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1382;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62646;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1403;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62687;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75958
1423;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62687;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75999
1444;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62687;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76040
1464;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62728;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76040
1485;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62769;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76040
1505;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62769;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76081
1526;-0.4526378357713333;-0.27377225099283303;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62810;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76081
1546;-0.4526378357713333;-0.27356345809241833;-0.9106038632166257;#DCM=0.11,-0.99,-0.08,0.33,0.12,-0.94,0.94,0.08,0.34,62810;#DCM=0.09,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,76122
