Time_ms;Coronal;Sagital;Transversal;1;2
1024;-0.8021487637120154;-0.35874802608418127;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303880;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241334;
1045;-0.8021487637120154;-0.35874802608418127;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303921;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241334;
1065;-0.8021487637120154;-0.35874802608418127;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303921;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241375;
1086;-0.2750210837754741;0.1650162125956967;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.40,303962;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241375;
1106;-0.2750210837754741;0.1650162125956967;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.40,303962;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241416;
1127;-0.2750210837754741;0.1650162125956967;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.40,303962;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241457;
1147;-0.2750210837754741;-0.35830002609994804;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.39,304003;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241457;
1168;-0.2750210837754741;-0.35830002609994804;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.13,0.90,0.41,0.92,-0.05,0.39,304003;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241498;
1188;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304044;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241498;
1209;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304044;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241539;
1229;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304084;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241539;
1249;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304084;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241580;
1260;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304105;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241580;
1280;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304146;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241580;
1300;-0.2750210837754741;-0.35874802608418127;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,304146;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241620;
1321;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304187;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241620;
1341;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304228;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241620;
1352;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304228;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241641;
1372;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304228;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241682;
1393;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304269;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241682;
1413;-0.2750210837754741;-0.4327555305444916;-0.36713315963460835;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304269;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241723;
1434;-0.2750210837754741;-0.43380461328031056;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.13,0.90,0.42,0.92,-0.05,0.39,304310;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241723;
1454;-0.2750210837754741;-0.43435220380219247;-0.36713315963460835;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.05,0.39,304351;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241723;
1475;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304392;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241723;
1495;-0.8021487637120154;-0.43435220380219247;-0.5966874176857955;#DCM=0.37,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,304392;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241764;
